guid;url;title;price;description;img;availability
20268;https://www.amazon.com/Aipker-1-56-Inch-Bluetooth-Smartwatch-Android/dp/B00XOZOM52/;Aipker 1.56-Inch Bluetooth Smartwatch with 16GB TF Card for Android Smart watch Phones - Golden;18.99;;https://example.org/20268.jpg;true
94461;https://www.amazon.com/LG-Electronics-G-Watch-Black/dp/B00LB2ZQ3C/;LG Electronics G Watch - Black;110.99;"LG G Smart Watch for select Android devices. Bluetooth 4.0 technology lets you easily sync with your compatible Android device to this LG G Watch, so you can receive and view important mobile notifications on the 2.2"" touch-screen LCD.";https://example.org/94461.jpg;true
54586;https://www.amazon.com/LG-GizmoPal-VC110-Wireless-Smartwatch/dp/B01N5SDZ43/;LG GizmoPal 2 VC110 Verizon Wireless GPS Track Call Child Wearable Smartwatch - Blue (Certified Refurbished);57.99;The GizmoPal 2 by LG is the checking–in wearable you and your kid can be happy about. Quickly make calls to and from the GizmoPal 2. Locate it from your phone, so you know where your child is, or get notifications if your child crosses set GPS boundaries. All in a fashionable.;https://example.org/54586.jpg;true
91006;https://www.amazon.com/AOKII-Outdoor-Waterproof-Bluetooth-Smartphones/dp/B06XNPGR7R/;AOKII Outdoor Waterproof IP67 Bluetooth Sport Smart Watch with Android and IOS Smartphones (Black);29.99;"The ULtimate IDEAL of Science And Technology is Life Changing,Change The Way Of Life, Start From Smart One Smart Watch Born For Sports, Witnessing ""Life Lies In Motion"" BT distance: 8-10m (Open space) Watch data:Save data for past 21 days(New data will cover old data cyclically) Server data:Permanently saved Very frequent use:Upto 5 months Normal use:Upto 8 months Energy saving mode:Upto 12 months Waterproof level:5 ATM or IP67 Button life:100K times Bluetooth:BT 4.0 Light:EL Cold light panel Battery Code: CR2032 Watch sheath:High-resistant TPU Watch inner structure:ABS+PC Strap:High-tensile TPU Strap buckle:316L Stainless steel Bottom cover:316L Stainless steel Watch case size:53*55*17mm Strap size:international standard Minimum wrist circumference:170mm Maximum wrist circumference:200mm Unit weight:70g Package weight:135g *Watch Face may covered by a protection film, please remove it before use. Please DONOT Press Any Buttons Underwater. Also avoid the use in extreme hot or cold temperature. *If mist or droplets found inside watch surface, please contact manufacturer immediately. *Clean the watch face and strap by a soft cloth on regular bases is highly recommended. *Too much water contact will shorten watch life. *AOKII Sport Smart Watch x 1 *Instruction Manual x 1";https://example.org/91006.jpg;true
55226;https://www.amazon.com/Apple-Watch-Aluminum-Certified-Refurbished/dp/B01BO3VDMK/;Apple Watch 38mm Aluminum Case Sport with Black Sport Band (Certified Refurbished);225.99;Dimensions: Height: 38.6mm, Width: 33.3mm, Depth: 10.5mm, Case Weight: 25g (1.51 x 1.29 x 0.41 in inches, 0.88 oz) Sport Band with stainless steel pin;https://example.org/55226.jpg;true
36261;https://www.amazon.com/Fossil-Wander-Touchscreen-Leather-Smartwatch/dp/B01BTTUPPA/;Fossil Q Wander Gen 2 Touchscreen Tan Leather Smartwatch;255;Introducing our slimmest smartwatch to date: Q Wander is our newest digital display watch that connects seamlessly to your phone. Strapped in light brown leather, the tech-savvy dial with touchscreen functionality includes customizable faces. This fashionable timepiece tracks everything from daily steps to calories. Notifications alert you of incoming calls and texts. Use the built-in microphone and speaker to do a variety of tasks on your Android smartwatch using just your voice. Stay charged for up to 1 day (based on usage) with the wireless conductive magnetic charger. From customizable watch faces to interchangeable straps, it’s easy to tell time the smarter way with Q Wander. Founded in 1984 when timepieces were created more for function than fashion, Fossil began to transform this notion with its unique combination of vintage 1950s Americana design and affordably accessible cool style. Adding to their collectability were the one-of-a-kind, trademark tins that came with the watches that mixed a creative spirit with a sense of humor. These iconic boxes are nearly as popular as the watches they hold and are regularly collected and traded throughout the world at flea markets, antique shops, and on eBay. Today, Fossil produces over 300 different styles of watches in a continuously changing lineup. While the majority of designs are created by in-house designers, Fossil has reached out to such contemporary artisans as product designer Philip Starck and famed architect Frank Gehry (designer of the Guggenheim Museum in Bilbao, Spain) to create uniquely modern timepieces. In addition to style innovations, Fossil has also helped introduce innovative technologies into watches, such as the Wrist PDA that ran the Palm operating system. Fossil also offers complementary lines of small leather goods, belts, handbags, sunglasses, jewelry and apparel.;https://example.org/36261.jpg;true
71207;https://www.amazon.com/DEBBIECTY-Support-Android-abouve-iPhone5s/dp/B01MU6PAKR/;DEBBIECTY MSRM Smart Watch Phone 1.54 Inch Phone Syc Support Android 4.2 or abouve and iPhone5s/6/6s/7/7s (Black);25.59;Please open the rear cover and put the battery into the base according to the arrow of direction mark. CPU: MTK6261D Memory: 32M+32M;https://example.org/71207.jpg;true
86523;https://www.amazon.com/Fossil-Touchscreen-Two-Tone-Stainless-Smartwatch/dp/B01EQZPVNK/;Fossil Q Founder Gen 2 Touchscreen Two-Tone Gunmetal Stainless Steel Smartwatch;275;So you want a watch with modern functionality and classic good looks? This season timing is everything with the Q Founder—a (best of both worlds) touchscreen smartwatch with refined steel and sleek silicone accents that connects seamlessly to your phone. This handsome timepiece tracks everything from daily steps to calories. Notifications alert you of incoming calls and texts. Use the built-in microphone and speaker to do a variety of tasks on your smartwatch using just your voice. Stay charged for up to 24 hours (based on usage) with the magnetic wireless charger. From customizable watch faces to interchangeable straps, it's easy to tell time the smart(er) way with Q Founder. Smartwatch that tracks activities and provides notifications;https://example.org/86523.jpg;true
55797;https://www.amazon.com/LG-GizmoPal-VC110-Wireless-Smartwatch/dp/B01MSDT4GW/;LG GizmoPal 2 VC110 Verizon Wireless GPS Track Call Child Wearable Smartwatch - Pink (Certified Refurbished);49.99;The GizmoPal 2 by LG is the checking–in wearable you and your kid can be happy about. Quickly make calls to and from the GizmoPal 2. Locate it from your phone, so you know where your child is, or get notifications if your child crosses set GPS boundaries. All in a fashionable.;https://example.org/55797.jpg;true
9013;https://www.amazon.com/Samsung-Fitness-Watch-Pulse-Sensor/dp/B00T9RGVAI/;Samsung 1.84 Inch Gear Fit Fitness Watch with Pulse Sensor - Black (Certified Refurbished);69.95;Samsung Gear Fit The Samsung Gear Fit is the first curved, Super AMOLED wearable device for active lifestyles. Empower your fitness with real-time coaching and heart rate monitoring without sacrificing style or connectivity. Wherever your day takes you, Gear Fit matches any occasion with interchangeable bands and screens so you can look and feel your best. Simple Interaction: Samsung Gear Fit allows you to easily control basic functions, such as, reject calls with messages, quick reply to messages and control alarms. Connected Notification: Samsung Gear Fit equips you with instant notifications of emails, SMS, incoming calls, & 3rd party apps to keep you connected.;https://example.org/9013.jpg;true
